epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26254.6,1.19178,1.22108,1.52209,0.75277,0.67901,0.72886,0.40855,1.53557,1.24048,1.81213,0.000509727,0.000509727,0.000509727
43,26787.3,1.19308,1.19779,1.52056,0.76181,0.62254,0.72119,0.42489,1.52187,1.33714,1.81029,0.000495062,0.000495062,0.000495062
44,27312.9,1.2008,1.19284,1.52064,0.74037,0.65681,0.72609,0.42148,1.55262,1.22595,1.81081,0.000480396,0.000480396,0.000480396
45,27877.9,1.19161,1.18657,1.51617,0.72762,0.6667,0.72105,0.41361,1.54771,1.25029,1.80333,0.000465731,0.000465731,0.000465731
46,28395,1.17955,1.16753,1.49922,0.69675,0.65889,0.69874,0.4109,1.51744,1.2308,1.77538,0.000451066,0.000451066,0.000451066
47,28985.2,1.17537,1.15071,1.4947,0.78398,0.66261,0.71956,0.4189,1.532,1.21176,1.7859,0.000436401,0.000436401,0.000436401
48,29543.6,1.1517,1.12799,1.48624,0.80675,0.64085,0.70773,0.41118,1.53126,1.22597,1.79436,0.000421736,0.000421736,0.000421736
49,30395.6,1.16562,1.14168,1.48928,0.74605,0.64278,0.70467,0.41769,1.51611,1.24699,1.7882,0.00040707,0.00040707,0.00040707
50,31309.7,1.15847,1.10199,1.48046,0.79096,0.65278,0.72032,0.41732,1.52349,1.22337,1.78889,0.000392405,0.000392405,0.000392405
51,31836.7,1.14379,1.09979,1.47588,0.78593,0.62937,0.71711,0.41973,1.51792,1.19931,1.77741,0.00037774,0.00037774,0.00037774
52,32377.8,1.14763,1.08456,1.47201,0.72804,0.68906,0.7343,0.43759,1.48666,1.19264,1.77028,0.000363075,0.000363075,0.000363075
53,32861.5,1.12909,1.05763,1.46316,0.7574,0.65056,0.7254,0.42395,1.52544,1.24491,1.78238,0.00034841,0.00034841,0.00034841
54,33329.9,1.11331,1.04741,1.45688,0.67209,0.69135,0.71322,0.41671,1.53722,1.28295,1.81106,0.000333744,0.000333744,0.000333744
55,33879.5,1.14458,1.05885,1.46863,0.74766,0.68116,0.73817,0.4343,1.53582,1.23149,1.8014,0.000319079,0.000319079,0.000319079
56,34398.3,1.11079,1.03391,1.4419,0.74572,0.64121,0.71554,0.41872,1.53392,1.2558,1.81209,0.000304414,0.000304414,0.000304414
